,titles,content,url
81,Repeated hurricane exposure may harm mental health,"Repeated exposure to hurricanes is linked to adverse psychological symptoms and may be associated with increased mental health problems, according to a new study.
The findings, which hold true wheth… [+3049 chars]",https://www.futurity.org/?p=2755432
82,Science in Africa: tackling mistrust and misinformation,"Akin Jimoh: 00:10
Welcome to Science in Africa, a Nature Careers podcast series. I am Akin Jimoh, chief editor of Nature Africa. I work and live in Lagos and I'm passionate about promoting science a… [+20207 chars]",https://www.nature.com/articles/d41586-022-01154-8
83,Norway court names suspect in Oslo gay bar shooting ahead of Pride gathering - Reuters.com,"OSLO, June 27 (Reuters) - A Norwegian court on Monday named the suspect in a deadly rampage at a gay bar in Oslo as Zaniar Matapour, a Norwegian citizen of Iranian origin, as the city prepared a demo… [+2143 chars]",https://www.reuters.com/world/europe/norway-court-names-suspect-oslo-gay-bar-shooting-ahead-pride-gathering-2022-06-27/
84,R. Kelly sues Brooklyn jail for putting him on suicide watch - Reuters,"NEW YORK, July 1 (Reuters) - R. Kelly on Friday sued the Brooklyn jail that has housed him since his racketeering and sex crimes conviction, saying it wrongly put him on suicide watch after he receiv… [+2370 chars]",https://www.reuters.com/world/us/r-kelly-sues-brooklyn-jail-putting-him-suicide-watch-2022-07-02/
85,"More than half of all players at Euros, AFCON finals abused online-study - Reuters.com","June 18 (Reuters) - More than half of all players at the finals of last year's European Championship and Africa Cup of Nations (AFCON) were subjected to some form of discriminatory abuse online, a re… [+2179 chars]",https://www.reuters.com/lifestyle/sports/more-than-half-all-players-euros-afcon-finals-abused-online-study-2022-06-18/
86,Top Republican negotiator walks out of U.S. Senate gun talks - Reuters,"WASHINGTON, June 16 (Reuters) - The lead Republican negotiator in U.S. Senate negotiations toward a bipartisan gun safety bill walked out of the talks on Thursday, dimming the likelihood of a vote on… [+2127 chars]",https://www.reuters.com/world/us/top-republican-negotiator-walks-out-us-senate-gun-talks-2022-06-16/
87,David Harbour on 'Stranger Things' season finale: 'You'll be blown away' - Reuters.com,"LONDON, June 24 (Reuters) - For fans eagerly awaiting the season four finale of hit Netflix show ""Stranger Things"", cast member David Harbour has a clear message: ""You'll be blown away.""
The sci-fi … [+1988 chars]",https://www.reuters.com/lifestyle/david-harbour-stranger-things-season-finale-youll-be-blown-away-2022-06-24/
88,Uvalde school shooter's grandmother released from hospital - Reuters.com,"June 29 (Reuters) - The grandmother of the Uvalde school shooter was released from a hospital on Tuesday, just over a month after her grandson shot her and later also killed 19 children and two teach… [+2030 chars]",https://www.reuters.com/world/us/uvalde-school-shooters-grandmother-released-hospital-2022-06-29/
89,Canada seeks to prosecute some extremely intoxicated people who harm others - Reuters,"TORONTO, June 17 (Reuters) - Canada's federal government introduced a bill on Friday to hold some people criminally responsible if they harm someone else while extremely intoxicated.
A person could … [+2105 chars]",https://www.reuters.com/world/americas/canada-seeks-prosecute-some-extremely-intoxicated-people-who-harm-others-2022-06-17/
90,'I'm no hero' says dancing keeper as Australia qualify for World Cup - Reuters.com,"DOHA, June 13 (Reuters) - Substitute goalkeeper Andrew Redmaynes dancing antics helped Australia claim a shootout win over Peru in an inter-continental playoff on Monday but said he was no hero, only… [+1669 chars]",https://www.reuters.com/lifestyle/sports/im-no-hero-says-dancing-keeper-australia-qualify-world-cup-2022-06-13/
91,New York lawmakers to loosen gun laws after Supreme Court ruling - Reuters.com,"NEW YORK, June 30 (Reuters) - New York lawmakers will meet in an emergency session on Thursday to loosen the state's gun-licensing laws to conform with a landmark U.S. Supreme Court decision that est… [+2654 chars]",https://www.reuters.com/world/us/new-york-lawmakers-loosen-gun-laws-after-supreme-court-ruling-2022-06-30/
92,Wimbledon Centre Court set for Kyrgios show against Nakashima - Reuters,"LONDON, July 3 (Reuters) - Nick Kyrgios has unsurprisingly become the lightning rod for controversy at Wimbledon following his wild match with Stefanos Tsitsipas and the volatile Australian will brin… [+2199 chars]",https://www.reuters.com/lifestyle/sports/wimbledon-centre-court-set-kyrgios-show-against-nakashima-2022-07-03/
93,Alzheimer’s patient who says he can’t remember killing his granddaughter sentenced to prison in Japan,"An Alzheimers patient in Japan who says he cannot remember killing his granddaughter nearly two years ago has been sentenced to four and a half years in prison.
Susumu Tomizawa, 88, got into an argu… [+2230 chars]",https://news.yahoo.com/alzheimer-patient-says-t-remember-234803315.html
94,"July 4 parade shooting suspect slipped past Illinois ""red flag"" safeguards - Reuters.com","HIGHLAND PARK, Ill., July 5 (Reuters) - The man charged with killing seven people at a Chicago-area July Fourth parade slipped past the safeguards of an Illinois ""red flag"" law designed to prevent pe… [+4359 chars]",https://www.reuters.com/world/us/july-4-parade-shooting-suspect-slipped-past-illinois-red-flag-safeguards-2022-07-06/
95,Dallas Cowboys rolling with rookie kicker? Mike McCarthy urges patience,"FRISCO, Texas -- In 2007, Mike McCarthy was 44 years old and in his second year as Green Bay Packers head coach. He was still learning the trade and emotions would sometimes flare, especially with a … [+5108 chars]",https://www.espn.com/blog/dallas-cowboys/post/_/id/4775200/dallas-cowboys-rolling-with-rookie-kicker-mike-mccarthy-urges-patience
96,My Possible Self: Can This Mobile App Improve Your Mental Health?,"Mental health is a serious topic these days. In simple terms, it's a state of well-being that affects how you think, feel, and behave, and it's important that we learn how to care for our mental heal… [+6432 chars]",https://www.makeuseof.com/my-possible-self-app/
97,Devastated Fritz says Nadal loss the toughest of his career - Reuters.com,"LONDON, July 6 (Reuters) - American Taylor Fritz said his Wimbledon quarter-final loss to Rafa Nadal was the most painful of his career, after the Spaniard mounted a remarkable comeback to win in a f… [+1900 chars]",https://www.reuters.com/lifestyle/sports/devastated-fritz-says-nadal-loss-toughest-his-career-2022-07-06/
98,"Biden awards medal of freedom to Biles, Rapinoe, late Senator McCain - Reuters","WASHINGTON, July 7 (Reuters) - Gymnastics pioneer Simone Biles and twice World Cup winner Megan Rapinoe were among 17 honorees to receive the Presidential Medal of Freedom at the White House on Thurs… [+2669 chars]",https://www.reuters.com/world/us/biden-awards-medal-freedom-biles-rapinoe-late-senator-mccain-2022-07-07/
99,"Kyrgios 'already a champion' in family's eyes, says brother - Reuters.com","July 10 (Reuters) - Wimbledon finalist Nick Kyrgios is one match away from a first Grand Slam title but his brother, Christos, said on Sunday the Australian is already a champion in his family's eyes… [+1720 chars]",https://www.reuters.com/lifestyle/sports/kyrgios-already-champion-familys-eyes-says-brother-2022-07-10/
