,url
63,https://abcnews.go.com/US/wireStory/police-injuries-vehicle-crashed-nc-restaturant-88371323
64,https://abcnews.go.com/US/wireStory/chief-military-activity-ukraine-nuke-plant-end-88247387
65,https://abcnews.go.com/US/wireStory/jury-deliberations-start-deadly-motorcycle-crash-trial-88151745
66,https://abcnews.go.com/International/wireStory/explainer-fighting-ukraine-endangers-big-nuclear-plant-88184674
67,https://abcnews.go.com/International/wireStory/explainer-fighting-ukraine-endangers-big-nuclear-plant-88184673
68,https://abcnews.go.com/International/wireStory/cars-hit-tires-dumped-dutch-highway-amid-farmer-87537084
69,https://abcnews.go.com/International/wireStory/efforts-continue-reach-10-miners-northern-mexico-88003874
70,https://abcnews.go.com/International/wireStory/paraguay-senator-drowning-appears-accidental-officials-87760049
71,https://abcnews.go.com/US/wireStory/florida-man-filming-sunrise-killed-sand-dune-collapses-88142674
72,https://abcnews.go.com/US/wireStory/tanker-truck-yellowstone-spills-5k-gallons-gas-88615865
73,https://abcnews.go.com/Entertainment/wireStory/spain-killed-wind-collapses-parts-festival-stage-88333869
74,https://www.politico.com/newsletters/national-security-daily/2022/07/28/house-group-moves-to-label-russia-as-terrorist-state-00048266
75,https://www.news24.com/channel/The-Juice/News/a-brother-and-a-shield-tokollo-tshabalala-lovingly-remembered-during-emotional-send-off-20220819
76,https://abcnews.go.com/US/wireStory/killed-hurt-california-highway-head-crash-87561479
77,https://abcnews.go.com/US/wireStory/mother-3rd-person-die-missouri-home-exploded-88614221
78,https://abcnews.go.com/US/wireStory/man-indicted-homicide-georgia-boat-crash-kills-88511754
79,https://abcnews.go.com/International/wireStory/italy-judge-upholds-italians-jailing-immigrants-death-87749932
80,https://abcnews.go.com/International/wireStory/ukraine-shelling-hits-town-russian-held-nuclear-plant-88136533
81,https://www.news24.com/news24/Africa/News/33-dead-as-kenya-bus-plunges-into-river-20220725
82,https://www.politico.com/news/magazine/2022/07/22/sri-lanka-ambassador-jaliya-wickramasuriya-conviction-00047017
83,https://abcnews.go.com/Business/wireStory/pope-encourages-cuban-search-crews-matanzas-blaze-88096113
84,https://abcnews.go.com/Business/wireStory/pope-encourages-cuban-search-crews-matanzas-blaze-88095895
85,https://abcnews.go.com/US/wireStory/today-history-august-11-biden-names-harris-88224743
86,https://abcnews.go.com/Entertainment/wireStory/melissa-bank-witty-bestselling-author-dies-61-87929557
87,https://abcnews.go.com/Entertainment/wireStory/report-anne-heche-hospital-stable-fiery-car-crash-88044897
88,https://abcnews.go.com/US/wireStory/today-history-aug-us-drops-atom-bomb-hiroshima-88022611
89,https://abcnews.go.com/US/wireStory/southwest-attendant-suffers-broken-back-hard-landing-88117431
90,https://abcnews.go.com/US/wireStory/iowa-motorist-accused-hitting-abortion-rights-protester-88210248
91,https://abcnews.go.com/Entertainment/wireStory/anne-heche-critical-condition-ventilator-crash-88165977
92,https://abcnews.go.com/Entertainment/wireStory/police-investigate-anne-heche-dui-crash-house-88267659
93,https://abcnews.go.com/Business/wireStory/whistleblowers-hit-southwest-faa-lax-safety-practices-87505290
94,https://abcnews.go.com/Technology/wireStory/studies-bolster-theory-coronavirus-emerged-wild-87454300
95,https://abcnews.go.com/Business/wireStory/osha-investigates-deaths-amazon-workers-jersey-88269163
96,https://abcnews.go.com/Health/wireStory/tennessee-sues-walgreens-opioid-prescription-onslaught-87900015
97,https://abcnews.go.com/US/wireStory/marines-halt-amphibious-vehicle-sea-mishaps-87219781
98,https://abcnews.go.com/US/wireStory/pilots-die-firefighting-helicopter-crashes-idaho-87259350
99,https://abcnews.go.com/US/wireStory/ags-lender-heaped-insurance-plans-unwitting-borrowers-88458137
