,url
58,https://amp.theguardian.com/world/2022/aug/01/russia-ukraine-war-latest-what-we-know-on-day-159-of-the-invasion
59,https://amp.theguardian.com/world/2022/jul/20/russia-ukraine-war-at-a-glance-what-we-know-on-day-147-of-the-invasion
60,https://amp.theguardian.com/world/2022/jul/24/i-hate-it-life-under-fire-in-donbas-as-war-enters-sixth-month
61,https://amp.theguardian.com/commentisfree/2022/jul/23/snowflakes-climate-change-right-culture-war-daily-mail
62,https://amp.theguardian.com/world/2022/aug/07/chinese-and-taiwanese-warships-shadow-each-other-as-war-games-due-to-wind-down
63,https://amp.theguardian.com/world/2022/aug/08/second-world-war-bomb-discovered-in-italys-dried-up-river-po
64,https://amp.theguardian.com/world/2022/jul/21/ukraine-war-forcing-china-to-rethink-how-and-when-it-may-invade-taiwan-cia-chief-says
65,https://amp.theguardian.com/world/2022/jul/18/costs-of-ukraine-war-pose-tests-for-european-leaders-and-it-may-get-worse
66,https://amp.theguardian.com/world/2022/jul/19/russia-ukraine-war-at-a-glance-what-we-know-on-day-146-of-the-invasion
67,https://amp.theguardian.com/commentisfree/2022/jul/17/putin-is-already-at-war-with-europe-there-is-only-one-way-to-stop-him
68,https://amp.theguardian.com/world/2022/jul/17/netherlands-director-traces-great-grandfather-nazi-war-crimes
69,https://amp.theguardian.com/world/2022/jul/18/russia-ukraine-war-at-a-glance-what-we-know-on-day-145-of-the-invasion
70,https://amp.theguardian.com/world/2022/jul/12/russia-ukraine-war-update-what-we-know-on-day-139-of-the-invasion
71,https://amp.theguardian.com/world/2022/jul/14/russia-ukraine-war-update-what-we-know-on-day-141-of-the-invasion
72,https://amp.theguardian.com/world/2022/jul/13/russia-ukraine-war-update-what-we-know-on-day-140-of-the-invasion
73,https://amp.theguardian.com/world/2022/jul/22/russia-ukraine-war-what-we-know-on-day-149-of-the-invasion
74,https://amp.theguardian.com/commentisfree/2022/jul/27/culture-war-2012-olympic-opening-ceremony
75,https://amp.theguardian.com/world/2022/jul/25/russia-ukraine-war-latest-what-we-know-on-day-152-of-the-invasion
76,https://amp.theguardian.com/world/2022/jul/28/viktor-bout-brittney-griner-paul-whelan-prisoner-swap
77,https://amp.theguardian.com/tv-and-radio/2022/jul/28/neighbours-stars-where-are-they-now
78,https://amp.theguardian.com/world/2022/jul/28/russia-ukraine-war-latest-what-we-know-on-day-155-of-the-invasion
79,https://amp.theguardian.com/world/2022/aug/01/climate-culture-war-uk-meteorologists-heatwave
80,https://www.reuters.com/video/watch/ids5Wx?now=true
81,https://www.reuters.com/world/middle-east/syria-poor-wheat-harvest-adds-food-worries-2022-07-21/
82,https://www.reuters.com/video/watch/idRCV00BA7E
83,https://www.reuters.com/markets/commodities/swiss-gold-imports-russia-fall-june-2022-07-19/
84,https://www.reuters.com/world/us/yellen-us-talks-with-india-price-cap-russian-oil-encouraging-2022-07-18/
85,https://www.reuters.com/video/watch/idRW253618072022RP1
86,https://www.reuters.com/video/watch/ids5M0?now=true
87,https://www.reuters.com/world/europe/ukraine-russia-humanitarian-law-must-apply-foreigners-fighting-ukraine-2022-07-18/
88,https://www.reuters.com/article/us-ukraine-crisis-prisoners-idUSKBN2OT0XD
89,https://www.reuters.com/world/europe/poland-asks-ukraine-confront-dark-past-despite-common-front-against-moscow-2022-07-11/
90,https://www.reuters.com/business/energy/14-firms-get-oil-us-strategic-reserve-latest-sale-2022-07-11/
91,https://www.reuters.com/world/middle-east/israel-examine-reports-decades-old-grave-buried-egyptian-soldiers-2022-07-10/
92,https://www.reuters.com/markets/europe/eu-cuts-euro-zone-growth-forecasts-revises-up-inflation-outlook-2022-07-14/
93,https://www.reuters.com/world/europe/policy-gripes-desperation-behind-5-star-ambush-italys-draghi-2022-07-14/
94,https://www.reuters.com/business/energy/europe-edge-nord-stream-russian-gas-link-set-planned-shut-down-2022-07-10/
95,https://www.reuters.com/world/yellen-says-g20-must-act-address-short-term-food-insecurity-crisis-2022-07-15/
96,https://www.reuters.com/world/africa/macron-push-investments-cameroon-boost-africa-food-security-2022-07-26/
97,https://www.reuters.com/world/europe/russia-plans-military-exercises-east-country-aug-30-agencies-2022-07-26/
98,https://www.reuters.com/markets/europe/spain-raises-inflation-forecast-2022-lowers-gdp-growth-target-2023-2022-07-26/
99,https://www.reuters.com/markets/europe/exclusive-ukraine-aims-15-20-bln-imf-loan-by-year-end-central-bank-governor-2022-07-26/
